月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,手术室,字段不一致-单价,微度可吸收施夹器-1/双，保Z2060,1573778,单价,30.0,28.0,638,621,原始按器械数×基础单价(30)计费；处理后按标准价(28)计费
1月,手术室,字段不一致-总价,微度可吸收施夹器-1/双，保Z2060,1573778,总价,30.0,28.0,638,621,原始按器械数×基础单价(30)计费；处理后按标准价(28)计费
1月,手术室,字段不一致-单价,国纳可吸收施夹器（J20）-1/双/Z2060,1574466,单价,52.5,28.0,714,697,原始按器械数×基础单价(52.5)计费；处理后按标准价(28)计费
1月,手术室,字段不一致-总价,国纳可吸收施夹器（J20）-1/双/Z2060,1574466,总价,52.5,28.0,714,697,原始按器械数×基础单价(52.5)计费；处理后按标准价(28)计费
1月,手术室,字段不一致-单价,市二院止血带7个（只消毒）,1574476,单价,0.0,8.0,722,705,
1月,手术室,字段不一致-总价,市二院止血带7个（只消毒）,1574476,总价,0.0,8.0,722,705,
1月,手术室,多余行,2025-12-09 00:08:36.850000,2026-02-03 14:52:11.963000,整行,,20009871.0/None/-123.5,,847,
1月,手术室,多余行,2026-01-04 12:48:29.857000,2026-02-03 14:51:58.910000,整行,,20010623.0/None/-16.5,,849,
1月,手术室,汇总不一致-总价,手术室,,总价,59710.0,-140.0,8,845,
1月,捷迈得,多余行,闫虹豫-内固定装置去除术  1/1,1569888,整行,,1.0/250.0/250.0,,5,
1月,捷迈得,多余行,王丹-肱骨骨折不愈合（左）1/1,1572607,整行,,1.0/700.0/700.0,,6,
1月,钇嵩,多余行,贺桂艳-左踝关节骨折1/1,1570251,整行,,1.0/350.0/350.0,,5,
1月,钇嵩,多余行,张翠玲-股骨骨折（左）1/1,1567614,整行,,1.0/250.0/250.0,,8,
1月,钇嵩,多余行,贾恒荣-股骨转子间骨折1/5,1569385,整行,,1.0/1700.0/1700.0,,9,
1月,钇嵩,多余行,贾恒荣-股骨转子间骨折2/5,1569385,整行,,1.0/0.0/0.0,,10,
1月,钇嵩,多余行,贾恒荣-股骨转子间骨折3/5,1569385,整行,,1.0/0.0/0.0,,11,
1月,钇嵩,多余行,贾恒荣-股骨转子间骨折4/5,1569385,整行,,1.0/0.0/0.0,,12,
1月,钇嵩,多余行,贾恒荣-股骨转子间骨折5/5,1569385,整行,,1.0/0.0/0.0,,13,
1月,钇嵩,多余行,杜长明-股骨颈骨折  1/3,1569534,整行,,1.0/0.0/0.0,,14,
1月,钇嵩,多余行,杜长明-股骨颈骨折  2/3,1569534,整行,,1.0/0.0/0.0,,15,
1月,钇嵩,多余行,杜长明-股骨颈骨折  3/3,1569534,整行,,1.0/1000.0/1000.0,,16,
1月,钇嵩,多余行,贾恒荣-股骨转子间骨折  1/1,1569534,整行,,1.0/250.0/250.0,,17,
1月,钇嵩,多余行,冉月茹-右股骨颈骨折1/2,1572607,整行,,1.0/750.0/750.0,,18,
1月,钇嵩,多余行,冉月茹-右股骨颈骨折2/2,1572607,整行,,1.0/0.0/0.0,,19,
1月,钇嵩,多余行,张国学-右膝关节骨性关节病  1/8,1572933,整行,,1.0/0.0/0.0,,20,
1月,钇嵩,多余行,张国学-右膝关节骨性关节病  2/8,1572933,整行,,1.0/0.0/0.0,,21,
1月,钇嵩,多余行,张国学-右膝关节骨性关节病  3/8,1572933,整行,,1.0/0.0/0.0,,22,
1月,钇嵩,多余行,张国学-右膝关节骨性关节病  4/8,1572933,整行,,1.0/0.0/0.0,,23,
1月,钇嵩,多余行,张国学-右膝关节骨性关节病  5/8,1572933,整行,,1.0/0.0/0.0,,24,
1月,钇嵩,多余行,张国学-右膝关节骨性关节病  6/8,1572933,整行,,1.0/0.0/0.0,,25,
1月,钇嵩,多余行,张国学-右膝关节骨性关节病  7/8,1572933,整行,,1.0/0.0/0.0,,26,
1月,钇嵩,多余行,张国学-右膝关节骨性关节病  8/8,1572933,整行,,1.0/2000.0/2000.0,,27,
1月,钇嵩,多余行,王洪君-髌骨骨折  1/1,1573774,整行,,1.0/0.0/0.0,,28,
1月,钇嵩,多余行,王亚芬-股骨颈骨折1/2,1574857,整行,,1.0/1000.0/1000.0,,29,
1月,钇嵩,多余行,王亚芬-股骨颈骨折2/2,1574857,整行,,1.0/0.0/0.0,,30,
1月,钇嵩,多余行,张翠玲-左股骨骨折  4/4,1567359,整行,,1.0/1700.0/1700.0,,37,
1月,钇嵩,多余行,张翠玲-左股骨骨折  1/4,1567359,整行,,1.0/0.0/0.0,,38,
1月,钇嵩,多余行,张翠玲-左股骨骨折  2/4,1567359,整行,,1.0/0.0/0.0,,39,
1月,钇嵩,多余行,张翠玲-左股骨骨折  3/4,1567359,整行,,1.0/0.0/0.0,,40,
1月,骨外二,字段不一致-单价,纱布-5/Z1526,1573753,单价,5.5,2.5,19,19,
1月,骨外二,字段不一致-总价,纱布-5/Z1526,1573753,总价,165.0,75.0,19,19,
