月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
2月,妇产科,多余行,病理包-2/Z1530,1574307,整行,,1.0/16.5/16.5,,11,
2月,妇产科,多余行,止血钳-1/Z1029,1574307,整行,,1.0/8.0/8.0,,12,
2月,妇产科,多余行,取环包-6/W6050,1574307,整行,,2.0/33.0/66.0,,13,
2月,妇产科,汇总不一致-总价,妇产科,,总价,339.0,429.5,11,10,
2月,手术室,字段不一致-单价,缝合针-6/Z7520,1576233,单价,35.5,8.0,14,19,原始按器械数×基础单价(35.5)计费；处理后按标准价(8)计费
2月,手术室,字段不一致-总价,缝合针-6/Z7520,1576233,总价,71.0,16.0,14,19,原始按器械数×基础单价(35.5)计费；处理后按标准价(8)计费
2月,手术室,字段不一致-单价,缝合针-8/Z7520,1576233,单价,46.5,8.0,15,20,原始按器械数×基础单价(46.5)计费；处理后按标准价(8)计费
2月,手术室,字段不一致-总价,缝合针-8/Z7520,1576233,总价,46.5,8.0,15,20,原始按器械数×基础单价(46.5)计费；处理后按标准价(8)计费
2月,手术室,字段不一致-单价,缝合针-6/Z7520,1580008,单价,35.5,8.0,22,27,原始按器械数×基础单价(35.5)计费；处理后按标准价(8)计费
2月,手术室,字段不一致-总价,缝合针-6/Z7520,1580008,总价,35.5,8.0,22,27,原始按器械数×基础单价(35.5)计费；处理后按标准价(8)计费
2月,手术室,缺失行,成像/Z3040,1580164,整行,1.0/35.0/35.0,,27,,
2月,手术室,缺失行,穿刺器10.5-1/Z1026,1580164,整行,2.0/22.0/44.0,,28,,
2月,手术室,缺失行,穿刺器5.5-1/Z1026,1580164,整行,1.0/22.0/22.0,,29,,
2月,手术室,缺失行,单极钩（低温）-1/Z7550,1580164,整行,1.0/22.0/22.0,,30,,
2月,手术室,缺失行,电凝棒-1/z7550,1580164,整行,1.0/22.0/22.0,,31,,
2月,手术室,缺失行,电凝线-1/Z3040,1580164,整行,1.0/35.0/35.0,,32,,
2月,手术室,缺失行,光源线-1/Z3040,1580164,整行,1.0/35.0/35.0,,33,,
2月,手术室,缺失行,镜头-1/Z2060,1580164,整行,1.0/28.0/28.0,,34,,
2月,手术室,缺失行,气腹管-1/z3040,1580164,整行,1.0/35.0/35.0,,35,,
2月,手术室,缺失行,施夹钳-1/Z2060,1580164,整行,1.0/28.0/28.0,,36,,
2月,手术室,缺失行,弯分离钳-1/Z2060,1580164,整行,1.0/28.0/28.0,,37,,
2月,手术室,缺失行,无损伤-1/Z2060,1580164,整行,1.0/28.0/28.0,,38,,
2月,手术室,缺失行,转换器-1/Z7520,1580164,整行,1.0/22.0/22.0,,39,,
2月,手术室,缺失行,阑尾包,1580721,整行,1.0/159.5/159.5,,40,,
2月,手术室,缺失行,门诊包,1580721,整行,1.0/137.5/137.5,,41,,
2月,手术室,缺失行,小门诊包,1580721,整行,1.0/71.5/71.5,,42,,
2月,手术室,缺失行,剥离质-1/Z7534,1580721,整行,1.0/8.0/8.0,,43,,
2月,手术室,缺失行,克氏钳-1/z1029,1580721,整行,1.0/8.0/8.0,,44,,
2月,手术室,缺失行,驱血带(高温)/Z2032,1580721,整行,1.0/13.0/13.0,,45,,
2月,手术室,缺失行,咬针器-1/W6050,1580721,整行,1.0/16.5/16.5,,46,,
2月,手术室,缺失行,持物钳罐-2/W6050,1580721,整行,1.0/16.5/16.5,,47,,
2月,手术室,缺失行,锤子凿子-5/W6050,1580721,整行,1.0/27.5/27.5,,48,,
2月,手术室,多余行,肛门包,1574308,整行,,1.0/104.5/104.5,,9,
2月,手术室,多余行,门诊包,1574308,整行,,1.0/137.5/137.5,,10,
2月,手术室,多余行,克氏钳-1/z1029,1574308,整行,,1.0/8.0/8.0,,11,
2月,手术室,多余行,持物钳罐-2/W6050,1574308,整行,,2.0/16.5/33.0,,12,
2月,手术室,多余行,手科-11/W6050,1574308,整行,,1.0/60.5/60.5,,13,
2月,手术室,汇总不一致-总价,手术室,,总价,1954.5,1335.0,8,8,
3月,外科,缺失行,止血钳-3/Z1526,1590377,整行,1.0/16.5/16.5,,26,,
3月,外科,缺失行,缝合包,1590377,整行,3.0/38.5/115.5,,27,,
3月,外科,缺失行,刀柄1持针器1剪刀1止血钳1/W6050,1590377,整行,1.0/22.0/22.0,,28,,
3月,外科,多余行,缝合包,1580739,整行,,3.0/38.5/115.5,,9,
3月,外科,汇总不一致-总价,外科,,总价,1428.5,1390.0,8,8,
3月,妇产科,缺失行,无菌缸-1/Z2530,1590376,整行,1.0/16.0/16.0,,25,,
3月,妇产科,缺失行,取环器-1/Z1535,1590376,整行,1.0/11.0/11.0,,26,,
3月,妇产科,缺失行,取环包-6/W6050,1590376,整行,1.0/33.0/33.0,,27,,
3月,妇产科,缺失行,人流包-9件/W6050,1590376,整行,2.0/49.5/99.0,,28,,
3月,妇产科,汇总不一致-总价,妇产科,,总价,626.0,467.0,11,10,
3月,手术室,缺失行,成像/Z3040,1589785,整行,1.0/35.0/35.0,,55,,
3月,手术室,缺失行,穿刺器10.5-1/Z1026,1589785,整行,2.0/22.0/44.0,,56,,
3月,手术室,缺失行,穿刺器5.5-1/Z1026,1589785,整行,1.0/22.0/22.0,,57,,
3月,手术室,缺失行,单极钩（低温）-1/Z7550,1589785,整行,1.0/22.0/22.0,,58,,
3月,手术室,缺失行,单极线-1/Z3040,1589785,整行,1.0/35.0/35.0,,59,,
3月,手术室,缺失行,光源线-1/Z3040,1589785,整行,1.0/35.0/35.0,,60,,
3月,手术室,缺失行,镜头-1/Z2060,1589785,整行,1.0/28.0/28.0,,61,,
