月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
3月,手术室,字段不一致-单价,刷手包,1582120,单价,0.0,20.0,37,37,
3月,手术室,字段不一致-总价,刷手包,1582120,总价,0.0,20.0,37,37,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1582475,单价,0.0,20.0,57,57,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1582475,总价,0.0,20.0,57,57,
3月,手术室,字段不一致-单价,刷手包,1582475,单价,0.0,20.0,58,58,
3月,手术室,字段不一致-总价,刷手包,1582475,总价,0.0,20.0,58,58,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1582832,单价,0.0,20.0,79,79,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1582832,总价,0.0,60.0,79,79,
3月,手术室,字段不一致-单价,刷手包,1582832,单价,0.0,20.0,80,80,
3月,手术室,字段不一致-总价,刷手包,1582832,总价,0.0,20.0,80,80,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1583427,单价,0.0,20.0,96,96,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1583427,总价,0.0,60.0,96,96,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1585078,单价,0.0,20.0,108,108,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1585078,总价,0.0,120.0,108,108,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1585082,单价,0.0,20.0,109,109,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1585082,总价,0.0,20.0,109,109,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1585485,单价,0.0,20.0,122,122,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1585485,总价,0.0,60.0,122,122,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1585892,单价,0.0,20.0,127,127,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1585892,总价,0.0,20.0,127,127,
3月,手术室,字段不一致-单价,敷料包（纸塑袋）,1585892,单价,0.0,8.0,131,131,
3月,手术室,字段不一致-总价,敷料包（纸塑袋）,1585892,总价,0.0,8.0,131,131,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1586375,单价,0.0,20.0,136,136,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1586375,总价,0.0,140.0,136,136,
